master_term,master_term_id,yearmo,month_no,skill_pos_cnt,total_pos_cnt,loop_no
TIG Welding,229,201512,24,85,70310,90
Computer Aided Design and Drafting,61,201709,45,73,114349,27
QlikView,186,201802,50,37,109017,74
Natural Language Processing,270,201611,35,40,83334,105
Junit,118,201612,36,120,62773,51
Certified Credit Professional,44,201709,45,9,114349,22
Apache HTTP Server,20,201410,10,2,106289,8
SAS,201,201805,53,433,124699,81
SolidWorks,259,201701,37,174,93237,101
Junit,118,201507,19,489,97791,51
Ruby on Rails,195,201508,20,172,94594,79
Augmented Reality,30,201706,42,2,112365,11
Yardi,248,201508,20,4,94594,98
Online Analytical Processing,166,201612,36,54,62773,70
ASP.NET,28,201402,2,196,27637,10
CICS,55,201809,57,74,114604,25
ASP.NET,28,201802,50,475,109017,10
T-SQL,232,201411,11,136,77278,92
Bash,35,201503,15,389,102726,15
VPN,241,201712,48,179,76994,95
ASP.NET,28,201807,55,850,119017,10
Solr,22,201405,5,9,31909,9
KornShell,120,201604,28,4,91296,52
Certified Anti Money Laundering Specialist,43,201412,12,0,63051,21
SQL Server Reporting Services,148,201406,6,94,32800,61
SPSS Statistics,105,201407,7,17,68567,47
Cost Accounting,63,201712,48,87,76994,29
TIG Welding,229,201503,15,181,102726,90
Yardi,248,201405,5,1,31909,98
Crystal Reports,65,201503,15,170,102726,30
Workforce Now,13,201904,64,3,132847,6
Mergers and Acquisitions,135,201707,43,40,101309,57
After Effects,5,201512,24,39,70310,3
Dynamics,138,201410,10,4432,106289,58
Ruby,194,201901,61,578,122037,78
SPSS Statistics,105,201706,42,12,112365,47
Business Intelligence,41,201510,22,902,98076,19
JCL,113,201608,32,149,104211,50
Certified Financial Planner,45,201603,27,0,100182,23
Golang,91,201601,25,0,88469,43
MIG Welding,154,201502,14,388,89734,64
Certified Anti Money Laundering Specialist,43,201407,7,0,68567,21
Junit,118,201503,15,307,102726,51
SPSS Statistics,105,201709,45,46,114349,47
WildFly,190,201704,40,628,104890,75
Microstation,36,201401,1,40,33846,16
Chatbot,53,201807,55,12,119017,24
Network Support,163,201502,14,182,89734,68
Risk and Compliance,193,201603,27,273,100182,77
Deployment,69,201709,45,3913,114349,33
SAP,198,201702,38,1668,92181,80
Risk Analyst,192,201503,15,806,102726,76
PostgreSQL,182,201707,43,126,101309,73
Apache HTTP Server,20,201511,23,1,89588,8
Web Security and Encryption,242,201504,16,117,96803,96
T-SQL,232,201701,37,95,93237,92
Cost Accounting,63,201405,5,25,31909,29
Golang,91,201509,21,0,93766,43
Visual Basic,238,201510,22,1743,98076,93
InfoSphere DataStage,102,201709,45,51,114349,45
SAS,201,201812,60,302,82761,81
VPN,241,201705,41,478,119820,95
Deployment,69,201809,57,3609,114604,33
Certified Anti Money Laundering Specialist,43,201403,3,1,32230,21
Business Intelligence,41,201612,36,338,62773,19
Workforce Now,13,201809,57,6,114604,6
Dreamweaver,7,201612,36,102,62773,4
Online Analytical Processing,166,201803,51,48,121459,70
Workforce Now,13,201801,49,9,115683,6
InfoSphere DataStage,102,201507,19,228,97791,45
Selenium,205,201905,65,939,140823,85
Cost Accounting,63,201402,2,22,27637,29
Certified Financial Planner,45,201811,59,0,111219,23
Deployment,69,201802,50,4764,109017,33
GIS Software,89,201412,12,2,63051,42
SAS,201,201808,56,398,149917,81
AutoCAD,31,201606,30,401,98515,12
Django,71,201511,23,19,89588,34
Ruby,194,201906,66,244,102962,78
ASP.NET,28,201509,21,976,93766,10
Ruby on Rails,195,201905,65,122,140823,79
ActionScript,4,201605,29,2,89037,2
GIS Software,89,201607,31,4,88166,42
Dodd-Frank,72,201602,26,37,87681,35
Azure,251,201706,42,728,112365,99
VBScript,149,201612,36,26,62773,62
ActiveX,2,201503,15,1,102726,1
AEM Developer,266,201602,26,47,87681,104
Crystal Reports,65,201811,59,23,111219,30
