master_term,master_term_id,yearmo,month_no,skill_pos_cnt,total_pos_cnt,loop_no
Certified Credit Professional,44,201401,1,19,33846,22
ActionScript,4,201502,14,14,89734,2
Natural Language Processing,270,201503,15,16,102726,105
AutoCAD,31,201610,34,415,95676,12
Cisco Application Centric Infrastructure,264,201907,67,1,26524,103
Certified Credit Professional,44,201512,24,4,70310,22
Drupal,73,201804,52,45,119002,36
Minitab,156,201802,50,81,109017,65
Online Analytical Processing,166,201708,44,13,123189,70
AutoCAD,31,201802,50,565,109017,12
Deployment,69,201501,13,2866,93237,33
GIS Software,89,201407,7,46,68567,42
Minitab,156,201411,11,17,77278,65
SQL Server Reporting Services,148,201811,59,247,111219,61
Internal Auditor,108,201807,55,131,119017,48
Agile Development,14,201906,66,620,102962,7
ActionScript,4,201607,31,20,88166,2
Minitab,156,201604,28,160,91296,65
Dynamics,138,201601,25,2877,88469,58
Crystal Reports,65,201511,23,81,89588,30
Microstation,36,201612,36,24,62773,16
MicroStrategy,153,201506,18,68,99253,63
Security Policies and Procedures,202,201511,23,107,89588,82
Ruby,194,201902,62,556,107087,78
Linux Scripting,127,201805,53,6,124699,55
T-SQL,232,201409,9,105,104405,92
Microstation,36,201509,21,53,93766,16
Crystal Reports,65,201706,42,28,112365,30
AEM Developer,266,201705,41,62,119820,104
Ruby on Rails,195,201807,55,10,119017,79
WildFly,190,201706,42,745,112365,75
SQL Server Reporting Services,148,201707,43,333,101309,61
CICS,55,201605,29,172,89037,25
Junit,118,201603,27,464,100182,51
